Year,Month,Day,Hour,Minute,Temperature,GHI
2019,1,14,4,30,19.8,0
2019,1,14,5,30,20.1,0
2019,1,14,6,30,21.8,55
2019,1,14,7,30,24.8,260
2019,1,14,8,30,28.3,474
2019,1,14,9,30,31.3,650
2019,1,14,10,30,33.3,773
2019,1,14,11,30,34.4,831
2019,1,14,12,30,35,782
2019,1,14,13,30,35.1,688
2019,1,14,14,30,34.7,530
2019,1,14,15,30,33.5,319
2019,1,14,16,30,31.5,108
2019,1,14,17,30,29.8,0
2019,1,14,18,30,28.8,0
2019,1,14,19,30,27.9,0
2019,1,14,20,30,27,0
2019,1,14,21,30,26.1,0
2019,1,14,22,30,25.1,0
2019,1,14,23,30,24.6,0
2019,1,15,0,30,23.4,0
2019,1,15,1,30,22.7,0
2019,1,15,2,30,22.1,0
2019,1,15,3,30,21.7,0
2019,1,15,4,30,21.4,0
2019,1,15,5,30,21.9,0
2019,1,15,6,30,24,42
2019,1,15,7,30,27,171
2019,1,15,8,30,29.9,450
2019,1,15,9,30,32.1,618
2019,1,15,10,30,33.4,737
2019,1,15,11,30,34.3,789
2019,1,15,12,30,34.6,785
2019,1,15,13,30,34.5,690
2019,1,15,14,30,34,533
2019,1,15,15,30,32.7,337
2019,1,15,16,30,30.6,122
2019,1,15,17,30,28.9,0
2019,1,15,18,30,27.9,0
2019,1,15,19,30,27,0
2019,1,15,20,30,26.3,0
2019,1,15,21,30,25.3,0
2019,1,15,22,30,24.3,0
2019,1,15,23,30,23.8,0
2019,1,16,0,30,22.6,0
2019,1,16,1,30,21.9,0
2019,1,16,2,30,21.2,0
2019,1,16,3,30,20.5,0
2019,1,16,4,30,19.9,0
2019,1,16,5,30,20.3,0
2019,1,16,6,30,22.4,24
2019,1,16,7,30,25.4,222
2019,1,16,8,30,28.6,441
2019,1,16,9,30,31.6,621
2019,1,16,10,30,33.6,746
2019,1,16,11,30,34.6,803
2019,1,16,12,30,35,742
2019,1,16,13,30,35,645
2019,1,16,14,30,34.4,487
2019,1,16,15,30,32.7,282
2019,1,16,16,30,30.3,68
2019,1,16,17,30,28.5,0
2019,1,16,18,30,27.7,0
2019,1,16,19,30,27.1,0
2019,1,16,20,30,26.2,0
2019,1,16,21,30,24.9,0
2019,1,16,22,30,23.8,0
2019,1,16,23,30,23.3,0
2019,1,17,0,30,22.3,0
2019,1,17,1,30,21.6,0
2019,1,17,2,30,20.9,0
2019,1,17,3,30,20.4,0
2019,1,17,4,30,19.9,0
2019,1,17,5,30,20.2,0
2019,1,17,6,30,22.1,24
2019,1,17,7,30,25.1,227
2019,1,17,8,30,28.4,451
2019,1,17,9,30,31.2,610
2019,1,17,10,30,33.4,741
2019,1,17,11,30,34.8,803
2019,1,17,12,30,35.5,798
2019,1,17,13,30,35.6,709
2019,1,17,14,30,35.1,553
2019,1,17,15,30,33.5,351
2019,1,17,16,30,30.8,133
2019,1,17,17,30,28.6,0
2019,1,17,18,30,27.5,0
2019,1,17,19,30,26.7,0
2019,1,17,20,30,25.9,0
2019,1,17,21,30,24.9,0
2019,1,17,22,30,23.8,0
2019,1,17,23,30,23.3,0
2019,1,18,0,30,22.2,0
2019,1,18,1,30,21.4,0
2019,1,18,2,30,20.7,0
2019,1,18,3,30,20.2,0
2019,1,18,4,30,19.8,0
2019,1,18,5,30,20.3,0
2019,1,18,6,30,22.5,67
2019,1,18,7,30,25.9,284
2019,1,18,8,30,29.4,510
2019,1,18,9,30,32.1,663
2019,1,18,10,30,33.9,788
2019,1,18,11,30,35.1,849
2019,1,18,12,30,35.5,793
2019,1,18,13,30,35.5,626
2019,1,18,14,30,34.9,477
2019,1,18,15,30,33.1,337
2019,1,18,16,30,30.2,121
2019,1,18,17,30,27.9,0
2019,1,18,18,30,26.5,0
2019,1,18,19,30,25.5,0
2019,1,18,20,30,24.7,0
2019,1,18,21,30,23.8,0
2019,1,18,22,30,23.1,0
2019,1,18,23,30,22.8,0
2019,1,19,0,30,22.3,0
2019,1,19,1,30,21.8,0
2019,1,19,2,30,21.4,0
2019,1,19,3,30,21.1,0
2019,1,19,4,30,20.7,0
2019,1,19,5,30,21.3,0
2019,1,19,6,30,23.7,52
2019,1,19,7,30,27.1,260
2019,1,19,8,30,30.3,480
2019,1,19,9,30,32.8,666
2019,1,19,10,30,34.5,796
2019,1,19,11,30,35.6,856
2019,1,19,12,30,36.2,818
2019,1,19,13,30,36.3,724
2019,1,19,14,30,35.8,470
2019,1,19,15,30,34.5,359
2019,1,19,16,30,32.3,139
2019,1,19,17,30,30.2,0
2019,1,19,18,30,28.7,0
2019,1,19,19,30,27.4,0
2019,1,19,20,30,26.5,0
2019,1,19,21,30,25.8,0
2019,1,19,22,30,25.1,0
2019,1,19,23,30,24.7,0
2019,1,20,0,30,23.8,0
2019,1,20,1,30,23.4,0
2019,1,20,2,30,23,0
2019,1,20,3,30,22.8,0
2019,1,20,4,30,22.6,0
2019,1,20,5,30,23.1,0
2019,1,20,6,30,24.8,45
2019,1,20,7,30,27.4,247
2019,1,20,8,30,30.2,463
2019,1,20,9,30,32.4,624
2019,1,20,10,30,34,752
2019,1,20,11,30,35,794
2019,1,20,12,30,35.5,674
2019,1,20,13,30,35.5,580
2019,1,20,14,30,34.9,463
2019,1,20,15,30,33.3,322
2019,1,20,16,30,30.6,112
2019,1,20,17,30,28.7,0
2019,1,20,18,30,27.8,0
2019,1,20,19,30,27.3,0
2019,1,20,20,30,27,0
2019,1,20,21,30,26.7,0
2019,1,20,22,30,26.1,0
2019,1,20,23,30,25.7,0
2019,1,21,0,30,24.5,0
2019,1,21,1,30,23.8,0
2019,1,21,2,30,23.2,0
2019,1,21,3,30,22.7,0
2019,1,21,4,30,22.2,0
2019,1,21,5,30,22.5,0
2019,1,21,6,30,24.3,52
2019,1,21,7,30,27.3,259
2019,1,21,8,30,30.3,472
2019,1,21,9,30,32.8,655
2019,1,21,10,30,34.5,781
2019,1,21,11,30,35.6,841
2019,1,21,12,30,36.2,837
2019,1,21,13,30,36.2,743
2019,1,21,14,30,35.7,584
2019,1,21,15,30,34.3,364
2019,1,21,16,30,31.6,145
2019,1,21,17,30,29.3,0
2019,1,21,18,30,28.1,0
2019,1,21,19,30,27.1,0
2019,1,21,20,30,26.2,0
2019,1,21,21,30,25.3,0
2019,1,21,22,30,24.4,0
2019,1,21,23,30,23.9,0
